id,data_year,school_name,private_flag,school_type,school_region,urbanization_level,enrollment_quota,new_student_count,stability,enrollment_rate,tuition_revenue_ratio,debt_ratio,net_income_ratio,totur_flag,closure_flag
82,106,長庚大學,1,一般大學,桃園市龜山區,3,2010,1707,97.89,84.97,12.48,1.11,87.52,0,0
83,106,長榮大學,1,一般大學,臺南市歸仁區,4,3026,2008,96.57,66.36,66.34,4.49,33.66,0,0
84,106,開南大學,1,一般大學,桃園市蘆竹區,3,2358,1323,94.14,56.11,70.95,11.28,29.05,0,0
85,106,靜宜大學,1,一般大學,臺中市沙鹿區,3,3040,2823,97.5,92.89,61.52,4.12,38.48,0,0
86,106,馬偕學校財團法人馬偕醫學院,1,一般大學,新北市三芝區,6,145,131,98.8,90.34,13.4,2.15,86.6,0,0
87,106,高雄醫學大學,1,一般大學,高雄市三民區,2,1844,1643,98.48,89.1,25.17,4.12,74.83,0,0
88,106,中信金學校財團法人中信科技大學,1,技專校院,臺南市新市區,3,2650,1493,94.38,56.34,61.8,8.25,38.2,0,0
89,106,中國科技大學,1,技專校院,臺北市文山區,2,3870,2744,95.91,71,74.34,4.89,25.66,0,0
90,106,中州學校財團法人中州科技大學,1,技專校院,彰化縣員林市,4,1949,1058,91.55,54.42,52.62,7.04,47.38,0,0
91,106,中臺科技大學,1,技專校院,臺中市北屯區,3,2881,2266,96.2,78.65,71.87,5.72,28.13,0,0
92,106,中華學校財團法人中華科技大學,1,技專校院,臺北市南港區,2,2296,1481,96.3,64.96,72.47,9.74,27.53,0,0
93,106,中華醫事科技大學,1,技專校院,臺南市仁德區,3,3108,2308,95.97,74.26,72.58,5.75,27.42,0,0
94,106,亞太學校財團法人亞太創意技術學院,1,技專校院,苗栗縣頭份市,3,440,305,94.91,69.32,75.14,6.21,24.86,0,1
95,106,亞東技術學院,1,技專校院,新北市板橋區,1,1108,972,97.57,88.04,42.39,0.6,57.61,0,0
96,106,仁德醫護管理專科學校,1,技專校院,苗栗縣後龍鎮,6,1555,1390,96.69,89.39,69.12,7.1,30.88,0,0
97,106,修平學校財團法人修平科技大學,1,技專校院,臺中市大里區,3,2137,1130,94.48,52.88,70.26,7.31,29.74,0,0
98,106,健行學校財團法人健行科技大學,1,技專校院,桃園市中壢區,2,3417,2678,95.5,78.42,68.77,3.78,31.23,0,0
99,106,僑光科技大學,1,技專校院,臺中市西屯區,2,2646,2499,95.52,94.48,79.36,2.86,20.64,0,0
100,106,光宇學校財團法人元培醫事科技大學,1,技專校院,新竹市香山區,3,2500,1841,95.06,73.64,67.45,5.62,32.55,0,0
101,106,南亞科技學校財團法人南亞技術學院,1,技專校院,桃園市中壢區,2,2136,1102,92.71,51.59,70.05,3.79,29.95,0,0
102,106,南榮學校財團法人南榮科技大學,1,技專校院,臺南市鹽水區,6,1172,377,92.63,32.17,75.86,3.22,24.14,0,1
103,106,南臺學校財團法人南臺科技大學,1,技專校院,臺南市永康區,3,5368,4150,97,77.4,62.61,4.45,37.39,0,0
104,106,南開科技大學,1,技專校院,南投縣草屯鎮,4,1775,1102,94.38,62.08,69.34,5.44,30.66,0,0
105,106,台北海洋學校財團法人台北海洋科技大學,1,技專校院,新北市淡水區,3,1751,1120,93.23,63.96,72.33,12.71,27.67,0,0
106,106,台南家專學校財團法人台南應用科技大學,1,技專校院,臺南市永康區,3,3494,2901,96.84,83.1,78.38,3.98,21.62,0,0
107,106,台鋼學校財團法人台鋼科技大學,1,技專校院,高雄市路竹區,5,2502,1280,92.47,51.16,63.4,3.77,36.6,0,0
108,106,吳鳳科技大學,1,技專校院,嘉義縣民雄鄉,4,2245,1399,95.67,62.32,69.22,2.59,30.78,0,0
109,106,和春技術學院,1,技專校院,高雄市旗山區,6,2001,710,86.03,35.48,68.19,2.39,31.81,0,0
110,106,嘉藥學校財團法人嘉南藥理大學,1,技專校院,臺南市仁德區,3,5167,3348,96.88,64.9,69.03,9.12,30.97,0,0
111,106,城市學校財團法人臺北城市科技大學,1,技專校院,臺北市北投區,2,3486,2761,94.44,79.2,80.72,14.47,19.28,0,0
112,106,大仁科技大學,1,技專校院,屏東縣鹽埔鄉,7,2620,1925,95.22,73.5,68.38,7.34,31.62,0,0
113,106,大同技術學院,1,技專校院,嘉義市東區,4,817,586,89.42,71.73,67.69,4.95,32.31,0,0
114,106,大漢技術學院,1,技專校院,花蓮縣新城鄉,4,760,505,92.42,66.45,66.95,1.42,33.05,0,0
115,106,大華學校財團法人敏實科技大學,1,技專校院,新竹縣芎林鄉,3,1356,816,92.39,60.18,47.2,14.1,52.8,0,0
116,106,宏國學校財團法人宏國德霖科技大學,1,技專校院,新北市土城區,3,2579,1621,93.67,62.95,77.32,2.79,22.68,0,0
117,106,崇仁醫護管理專科學校,1,技專校院,嘉義市東區,4,726,726,98,100,63.52,3.79,36.48,0,0
118,106,崇右學校財團法人崇右影藝科技大學,1,技專校院,基隆市信義區,4,2215,1228,91.64,55.47,69.47,7.02,30.53,0,0
119,106,崑山科技大學,1,技專校院,臺南市永康區,3,3913,2731,95.36,69.79,56.74,12.3,43.26,0,0
120,106,嶺東科技大學,1,技專校院,臺中市南屯區,2,2725,2516,95.36,92.33,75.51,8.39,24.49,0,0
121,106,廣亞學校財團法人育達科技大學,1,技專校院,苗栗縣造橋鄉,6,1819,1079,93.42,59.48,66.16,3.28,33.84,0,0
122,106,建國科技大學,1,技專校院,彰化縣彰化市,4,3131,1884,94.85,60.17,73.09,8.71,26.91,0,0
123,106,弘光科技大學,1,技專校院,臺中市沙鹿區,3,3543,3253,96.64,91.81,65.63,9.96,34.37,0,0
124,106,德明財經科技大學,1,技專校院,臺北市內湖區,2,2383,1660,96.94,69.81,70.54,2.63,29.46,0,0
125,106,德育學校財團法人德育護理健康學院,1,技專校院,基隆市中山區,4,1912,1397,93.62,73.06,74.6,10.65,25.4,0,0
126,106,慈惠醫護管理專科學校,1,技專校院,屏東縣南州鄉,7,1595,974,94.53,61.07,69.83,6.08,30.17,0,0
127,106,慈濟學校財團法人慈濟科技大學,1,技專校院,花蓮縣花蓮市,4,829,715,97.43,86.25,30.01,4.73,69.99,0,0
